CompanyName;OrderDate;
La maison d'Asie;21/02/1997 00:00:00;
Wartian Herkku;24/02/1997 00:00:00;
Königlich Essen;25/02/1997 00:00:00;
Königlich Essen;25/02/1997 00:00:00;
Suprêmes délices;26/02/1997 00:00:00;
Victuailles en stock;27/02/1997 00:00:00;
Folk och fä HB;28/02/1997 00:00:00;
LILA-Supermercado;28/02/1997 00:00:00;
Consolidated Holdings;03/03/1997 00:00:00;
Suprêmes délices;04/03/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;04/03/1997 00:00:00;
Vaffeljernet;05/03/1997 00:00:00;
Comércio Mineiro;06/03/1997 00:00:00;
Magazzini Alimentari Riuniti;06/03/1997 00:00:00;
Königlich Essen;07/03/1997 00:00:00;
White Clover Markets;10/03/1997 00:00:00;
Bon app';11/03/1997 00:00:00;
B's Beverages;11/03/1997 00:00:00;
Seven Seas Imports;12/03/1997 00:00:00;
Island Trading;13/03/1997 00:00:00;
Pericles Comidas clásicas;13/03/1997 00:00:00;
Suprêmes délices;14/03/1997 00:00:00;
HILARION-Abastos;17/03/1997 00:00:00;
Princesa Isabel Vinhos;17/03/1997 00:00:00;
Victuailles en stock;18/03/1997 00:00:00;
Rattlesnake Canyon Grocery;19/03/1997 00:00:00;
Folies gourmandes;20/03/1997 00:00:00;
Ricardo Adocicados;20/03/1997 00:00:00;
Lazy K Kountry Store;21/03/1997 00:00:00;
White Clover Markets;24/03/1997 00:00:00;
B's Beverages;24/03/1997 00:00:00;
LINO-Delicateses;25/03/1997 00:00:00;
HILARION-Abastos;26/03/1997 00:00:00;
Queen Cozinha;26/03/1997 00:00:00;
Frankenversand;27/03/1997 00:00:00;
Piccolo und mehr;28/03/1997 00:00:00;
HILARION-Abastos;31/03/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;31/03/1997 00:00:00;
Bottom-Dollar Markets;01/04/1997 00:00:00;
La maison d'Asie;02/04/1997 00:00:00;
Comércio Mineiro;02/04/1997 00:00:00;
Laughing Bacchus Wine Cellars;03/04/1997 00:00:00;
Tradição Hipermercados;04/04/1997 00:00:00;
Lehmanns Marktstand;04/04/1997 00:00:00;
HILARION-Abastos;07/04/1997 00:00:00;
LILA-Supermercado;08/04/1997 00:00:00;
La maison d'Asie;09/04/1997 00:00:00;
Blauer See Delikatessen;09/04/1997 00:00:00;
Pericles Comidas clásicas;10/04/1997 00:00:00;
Hungry Owl All-Night Grocers;11/04/1997 00:00:00;
White Clover Markets;11/04/1997 00:00:00;
Mère Paillarde;14/04/1997 00:00:00;
Königlich Essen;15/04/1997 00:00:00;
Antonio Moreno Taquería;15/04/1997 00:00:00;
Ottilies Käseladen;16/04/1997 00:00:00;
Blauer See Delikatessen;17/04/1997 00:00:00;
Save-a-lot Markets;18/04/1997 00:00:00;
Bon app';18/04/1997 00:00:00;
Familia Arquibaldo;21/04/1997 00:00:00;
Die Wandernde Kuh;22/04/1997 00:00:00;
Ernst Handel;22/04/1997 00:00:00;
QUICK-Stop;23/04/1997 00:00:00;
Hungry Owl All-Night Grocers;24/04/1997 00:00:00;
North/South;24/04/1997 00:00:00;
Tortuga Restaurante;25/04/1997 00:00:00;
Chop-suey Chinese;28/04/1997 00:00:00;
Santé Gourmet;29/04/1997 00:00:00;
Cactus Comidas para llevar;29/04/1997 00:00:00;
Lehmanns Marktstand;30/04/1997 00:00:00;
Seven Seas Imports;01/05/1997 00:00:00;
Berglunds snabbköp;01/05/1997 00:00:00;
Bon app';02/05/1997 00:00:00;
Wartian Herkku;05/05/1997 00:00:00;
QUICK-Stop;05/05/1997 00:00:00;
Great Lakes Food Market;06/05/1997 00:00:00;
Maison Dewey;07/05/1997 00:00:00;
Piccolo und mehr;08/05/1997 00:00:00;
Océano Atlántico Ltda.;08/05/1997 00:00:00;
Eastern Connection;09/05/1997 00:00:00;
Folk och fä HB;12/05/1997 00:00:00;
Lehmanns Marktstand;12/05/1997 00:00:00;
Antonio Moreno Taquería;13/05/1997 00:00:00;
Lehmanns Marktstand;14/05/1997 00:00:00;
Richter Supermarkt;14/05/1997 00:00:00;
B's Beverages;15/05/1997 00:00:00;
B's Beverages;16/05/1997 00:00:00;
QUICK-Stop;19/05/1997 00:00:00;
Hanari Carnes;19/05/1997 00:00:00;
Königlich Essen;20/05/1997 00:00:00;
LILA-Supermercado;21/05/1997 00:00:00;
Lonesome Pine Restaurant;21/05/1997 00:00:00;
Lazy K Kountry Store;22/05/1997 00:00:00;
Victuailles en stock;23/05/1997 00:00:00;
Seven Seas Imports;23/05/1997 00:00:00;
Toms Spezialitäten;26/05/1997 00:00:00;
QUICK-Stop;27/05/1997 00:00:00;
Godos Cocina Típica;28/05/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;28/05/1997 00:00:00;
HILARION-Abastos;29/05/1997 00:00:00;
Wartian Herkku;30/05/1997 00:00:00;
Ottilies Käseladen;30/05/1997 00:00:00;
Save-a-lot Markets;02/06/1997 00:00:00;
Simons bistro;03/06/1997 00:00:00;
Lehmanns Marktstand;03/06/1997 00:00:00;
Around the Horn;04/06/1997 00:00:00;
Blondesddsl père et fils;05/06/1997 00:00:00;
Frankenversand;06/06/1997 00:00:00;
Folk och fä HB;06/06/1997 00:00:00;
Reggiani Caseifici;09/06/1997 00:00:00;
Ricardo Adocicados;10/06/1997 00:00:00;
Rattlesnake Canyon Grocery;10/06/1997 00:00:00;
Mère Paillarde;11/06/1997 00:00:00;
Blondesddsl père et fils;12/06/1997 00:00:00;
Hungry Owl All-Night Grocers;12/06/1997 00:00:00;
Galería del gastrónomo;13/06/1997 00:00:00;
Rattlesnake Canyon Grocery;16/06/1997 00:00:00;
Mère Paillarde;17/06/1997 00:00:00;
Ernst Handel;17/06/1997 00:00:00;
Berglunds snabbköp;18/06/1997 00:00:00;
Antonio Moreno Taquería;19/06/1997 00:00:00;
Trail's Head Gourmet Provisioners;19/06/1997 00:00:00;
Morgenstern Gesundkost;20/06/1997 00:00:00;
Tortuga Restaurante;23/06/1997 00:00:00;
Trail's Head Gourmet Provisioners;23/06/1997 00:00:00;
B's Beverages;24/06/1997 00:00:00;
Let's Stop N Shop;25/06/1997 00:00:00;
Ottilies Käseladen;26/06/1997 00:00:00;
Familia Arquibaldo;26/06/1997 00:00:00;
Blauer See Delikatessen;27/06/1997 00:00:00;
Wartian Herkku;30/06/1997 00:00:00;
Blondesddsl père et fils;30/06/1997 00:00:00;
Wellington Importadora;01/07/1997 00:00:00;
Reggiani Caseifici;02/07/1997 00:00:00;
Que Delícia;02/07/1997 00:00:00;
QUICK-Stop;03/07/1997 00:00:00;
Great Lakes Food Market;04/07/1997 00:00:00;
Mère Paillarde;07/07/1997 00:00:00;
Vaffeljernet;07/07/1997 00:00:00;
Lehmanns Marktstand;08/07/1997 00:00:00;
Lehmanns Marktstand;09/07/1997 00:00:00;
Old World Delicatessen;09/07/1997 00:00:00;
Ernst Handel;10/07/1997 00:00:00;
White Clover Markets;11/07/1997 00:00:00;
Piccolo und mehr;11/07/1997 00:00:00;
Rattlesnake Canyon Grocery;14/07/1997 00:00:00;
B's Beverages;15/07/1997 00:00:00;
Hungry Coyote Import Store;16/07/1997 00:00:00;
HILARION-Abastos;16/07/1997 00:00:00;
Vaffeljernet;17/07/1997 00:00:00;
Save-a-lot Markets;18/07/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;18/07/1997 00:00:00;
Mère Paillarde;21/07/1997 00:00:00;
Tradição Hipermercados;22/07/1997 00:00:00;
Save-a-lot Markets;22/07/1997 00:00:00;
Toms Spezialitäten;23/07/1997 00:00:00;
Du monde entier;24/07/1997 00:00:00;
La maison d'Asie;25/07/1997 00:00:00;
Wolski  Zajazd;25/07/1997 00:00:00;
Save-a-lot Markets;28/07/1997 00:00:00;
HILARION-Abastos;29/07/1997 00:00:00;
Blauer See Delikatessen;29/07/1997 00:00:00;
Wilman Kala;30/07/1997 00:00:00;
Great Lakes Food Market;31/07/1997 00:00:00;
Great Lakes Food Market;31/07/1997 00:00:00;
Mère Paillarde;01/08/1997 00:00:00;
Mère Paillarde;04/08/1997 00:00:00;
Laughing Bacchus Wine Cellars;05/08/1997 00:00:00;
Island Trading;05/08/1997 00:00:00;
Ricardo Adocicados;06/08/1997 00:00:00;
Frankenversand;07/08/1997 00:00:00;
The Cracker Box;07/08/1997 00:00:00;
Ana Trujillo Emparedados y helados;08/08/1997 00:00:00;
Berglunds snabbköp;11/08/1997 00:00:00;
Save-a-lot Markets;11/08/1997 00:00:00;
Blondesddsl père et fils;12/08/1997 00:00:00;
Godos Cocina Típica;12/08/1997 00:00:00;
Königlich Essen;13/08/1997 00:00:00;
La maison d'Asie;14/08/1997 00:00:00;
Die Wandernde Kuh;14/08/1997 00:00:00;
Ernst Handel;15/08/1997 00:00:00;
Folies gourmandes;15/08/1997 00:00:00;
Magazzini Alimentari Riuniti;18/08/1997 00:00:00;
Wartian Herkku;19/08/1997 00:00:00;
Queen Cozinha;19/08/1997 00:00:00;
LINO-Delicateses;20/08/1997 00:00:00;
Santé Gourmet;20/08/1997 00:00:00;
Die Wandernde Kuh;21/08/1997 00:00:00;
HILARION-Abastos;22/08/1997 00:00:00;
Simons bistro;22/08/1997 00:00:00;
Alfreds Futterkiste;25/08/1997 00:00:00;
Wellington Importadora;25/08/1997 00:00:00;
Hanari Carnes;26/08/1997 00:00:00;
Hungry Owl All-Night Grocers;27/08/1997 00:00:00;
Que Delícia;27/08/1997 00:00:00;
Ricardo Adocicados;28/08/1997 00:00:00;
Maison Dewey;28/08/1997 00:00:00;
Familia Arquibaldo;29/08/1997 00:00:00;
Die Wandernde Kuh;01/09/1997 00:00:00;
Gourmet Lanchonetes;01/09/1997 00:00:00;
Frankenversand;02/09/1997 00:00:00;
Berglunds snabbköp;02/09/1997 00:00:00;
Reggiani Caseifici;03/09/1997 00:00:00;
Great Lakes Food Market;04/09/1997 00:00:00;
Save-a-lot Markets;04/09/1997 00:00:00;
QUICK-Stop;05/09/1997 00:00:00;
Queen Cozinha;05/09/1997 00:00:00;
Hungry Coyote Import Store;08/09/1997 00:00:00;
Hungry Owl All-Night Grocers;09/09/1997 00:00:00;
Lonesome Pine Restaurant;09/09/1997 00:00:00;
Bon app';10/09/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;10/09/1997 00:00:00;
Lonesome Pine Restaurant;11/09/1997 00:00:00;
Richter Supermarkt;12/09/1997 00:00:00;
Ernst Handel;12/09/1997 00:00:00;
Die Wandernde Kuh;15/09/1997 00:00:00;
Simons bistro;15/09/1997 00:00:00;
Frankenversand;16/09/1997 00:00:00;
France restauration;17/09/1997 00:00:00;
Berglunds snabbköp;17/09/1997 00:00:00;
Wilman Kala;18/09/1997 00:00:00;
Island Trading;18/09/1997 00:00:00;
Frankenversand;19/09/1997 00:00:00;
Tortuga Restaurante;22/09/1997 00:00:00;
Antonio Moreno Taquería;22/09/1997 00:00:00;
Save-a-lot Markets;23/09/1997 00:00:00;
Blondesddsl père et fils;23/09/1997 00:00:00;
Old World Delicatessen;24/09/1997 00:00:00;
Great Lakes Food Market;25/09/1997 00:00:00;
Antonio Moreno Taquería;25/09/1997 00:00:00;
Du monde entier;26/09/1997 00:00:00;
Ottilies Käseladen;26/09/1997 00:00:00;
Gourmet Lanchonetes;29/09/1997 00:00:00;
Piccolo und mehr;30/09/1997 00:00:00;
Hungry Owl All-Night Grocers;30/09/1997 00:00:00;
Vaffeljernet;01/10/1997 00:00:00;
Berglunds snabbköp;01/10/1997 00:00:00;
Hanari Carnes;02/10/1997 00:00:00;
QUICK-Stop;03/10/1997 00:00:00;
Alfreds Futterkiste;03/10/1997 00:00:00;
White Clover Markets;06/10/1997 00:00:00;
QUICK-Stop;06/10/1997 00:00:00;
Wilman Kala;07/10/1997 00:00:00;
White Clover Markets;08/10/1997 00:00:00;
LINO-Delicateses;08/10/1997 00:00:00;
Ernst Handel;09/10/1997 00:00:00;
Morgenstern Gesundkost;09/10/1997 00:00:00;
Save-a-lot Markets;10/10/1997 00:00:00;
Hungry Owl All-Night Grocers;13/10/1997 00:00:00;
Alfreds Futterkiste;13/10/1997 00:00:00;
Folk och fä HB;14/10/1997 00:00:00;
Queen Cozinha;14/10/1997 00:00:00;
HILARION-Abastos;15/10/1997 00:00:00;
Old World Delicatessen;16/10/1997 00:00:00;
Around the Horn;16/10/1997 00:00:00;
The Big Cheese;17/10/1997 00:00:00;
Gourmet Lanchonetes;17/10/1997 00:00:00;
Franchi S.p.A.;20/10/1997 00:00:00;
Save-a-lot Markets;21/10/1997 00:00:00;
Hungry Owl All-Night Grocers;21/10/1997 00:00:00;
Save-a-lot Markets;22/10/1997 00:00:00;
Save-a-lot Markets;22/10/1997 00:00:00;
Bon app';23/10/1997 00:00:00;
Rancho grande;24/10/1997 00:00:00;
Frankenversand;24/10/1997 00:00:00;
Königlich Essen;27/10/1997 00:00:00;
Let's Stop N Shop;27/10/1997 00:00:00;
Que Delícia;28/10/1997 00:00:00;
QUICK-Stop;29/10/1997 00:00:00;
Save-a-lot Markets;29/10/1997 00:00:00;
White Clover Markets;30/10/1997 00:00:00;
Mère Paillarde;30/10/1997 00:00:00;
Familia Arquibaldo;31/10/1997 00:00:00;
Eastern Connection;03/11/1997 00:00:00;
Reggiani Caseifici;03/11/1997 00:00:00;
Queen Cozinha;04/11/1997 00:00:00;
LINO-Delicateses;04/11/1997 00:00:00;
Bon app';05/11/1997 00:00:00;
Chop-suey Chinese;06/11/1997 00:00:00;
Bon app';06/11/1997 00:00:00;
Berglunds snabbköp;07/11/1997 00:00:00;
Gourmet Lanchonetes;07/11/1997 00:00:00;
Let's Stop N Shop;10/11/1997 00:00:00;
Hungry Owl All-Night Grocers;11/11/1997 00:00:00;
Vins et alcools Chevalier;11/11/1997 00:00:00;
Spécialités du monde;12/11/1997 00:00:00;
Vins et alcools Chevalier;12/11/1997 00:00:00;
White Clover Markets;13/11/1997 00:00:00;
Around the Horn;14/11/1997 00:00:00;
Bottom-Dollar Markets;14/11/1997 00:00:00;
Around the Horn;17/11/1997 00:00:00;
Vaffeljernet;17/11/1997 00:00:00;
QUICK-Stop;18/11/1997 00:00:00;
Chop-suey Chinese;19/11/1997 00:00:00;
Piccolo und mehr;19/11/1997 00:00:00;
Save-a-lot Markets;20/11/1997 00:00:00;
Island Trading;20/11/1997 00:00:00;
Wartian Herkku;21/11/1997 00:00:00;
Richter Supermarkt;24/11/1997 00:00:00;
North/South;24/11/1997 00:00:00;
Franchi S.p.A.;25/11/1997 00:00:00;
Magazzini Alimentari Riuniti;25/11/1997 00:00:00;
Bon app';26/11/1997 00:00:00;
Split Rail Beer & Ale;27/11/1997 00:00:00;
Save-a-lot Markets;27/11/1997 00:00:00;
Richter Supermarkt;28/11/1997 00:00:00;
Ana Trujillo Emparedados y helados;28/11/1997 00:00:00;
Maison Dewey;01/12/1997 00:00:00;
Rattlesnake Canyon Grocery;02/12/1997 00:00:00;
Folk och fä HB;02/12/1997 00:00:00;
Folies gourmandes;03/12/1997 00:00:00;
Ernst Handel;03/12/1997 00:00:00;
QUICK-Stop;04/12/1997 00:00:00;
Ottilies Käseladen;05/12/1997 00:00:00;
Suprêmes délices;05/12/1997 00:00:00;
Around the Horn;08/12/1997 00:00:00;
Vaffeljernet;08/12/1997 00:00:00;
Hanari Carnes;09/12/1997 00:00:00;
Ernst Handel;10/12/1997 00:00:00;
Lehmanns Marktstand;10/12/1997 00:00:00;
Ernst Handel;11/12/1997 00:00:00;
Folk och fä HB;11/12/1997 00:00:00;
The Cracker Box;12/12/1997 00:00:00;
Ernst Handel;15/12/1997 00:00:00;
Gourmet Lanchonetes;15/12/1997 00:00:00;
Berglunds snabbköp;16/12/1997 00:00:00;
Morgenstern Gesundkost;16/12/1997 00:00:00;
LILA-Supermercado;16/12/1997 00:00:00;
Wartian Herkku;17/12/1997 00:00:00;
Cactus Comidas para llevar;17/12/1997 00:00:00;
Hanari Carnes;18/12/1997 00:00:00;
Magazzini Alimentari Riuniti;18/12/1997 00:00:00;
GROSELLA-Restaurante;18/12/1997 00:00:00;
Queen Cozinha;19/12/1997 00:00:00;
La maison d'Asie;19/12/1997 00:00:00;
QUICK-Stop;22/12/1997 00:00:00;
Folies gourmandes;22/12/1997 00:00:00;
Gourmet Lanchonetes;22/12/1997 00:00:00;
Frankenversand;23/12/1997 00:00:00;
Wolski  Zajazd;23/12/1997 00:00:00;
Around the Horn;24/12/1997 00:00:00;
Que Delícia;24/12/1997 00:00:00;
Ernst Handel;24/12/1997 00:00:00;
HILARION-Abastos;25/12/1997 00:00:00;
Drachenblut Delikatessen;25/12/1997 00:00:00;
Island Trading;26/12/1997 00:00:00;
Königlich Essen;26/12/1997 00:00:00;
Seven Seas Imports;26/12/1997 00:00:00;
Bólido Comidas preparadas;29/12/1997 00:00:00;
Simons bistro;29/12/1997 00:00:00;
Wellington Importadora;30/12/1997 00:00:00;
Seven Seas Imports;30/12/1997 00:00:00;
The Big Cheese;30/12/1997 00:00:00;
Victuailles en stock;31/12/1997 00:00:00;
Franchi S.p.A.;31/12/1997 00:00:00;
CompanyName;OrderDate;
Eastern Connection;01/01/1997 00:00:00;
Rattlesnake Canyon Grocery;01/01/1997 00:00:00;
Ernst Handel;02/01/1997 00:00:00;
Ernst Handel;03/01/1997 00:00:00;
Magazzini Alimentari Riuniti;03/01/1997 00:00:00;
LINO-Delicateses;06/01/1997 00:00:00;
Queen Cozinha;07/01/1997 00:00:00;
Ottilies Käseladen;07/01/1997 00:00:00;
Folies gourmandes;08/01/1997 00:00:00;
Océano Atlántico Ltda.;09/01/1997 00:00:00;
Bottom-Dollar Markets;10/01/1997 00:00:00;
Bottom-Dollar Markets;10/01/1997 00:00:00;
Wartian Herkku;13/01/1997 00:00:00;
La maison d'Asie;14/01/1997 00:00:00;
Familia Arquibaldo;14/01/1997 00:00:00;
Hungry Coyote Import Store;15/01/1997 00:00:00;
Wartian Herkku;16/01/1997 00:00:00;
Simons bistro;16/01/1997 00:00:00;
QUICK-Stop;17/01/1997 00:00:00;
Richter Supermarkt;20/01/1997 00:00:00;
Wellington Importadora;21/01/1997 00:00:00;
Que Delícia;21/01/1997 00:00:00;
Franchi S.p.A.;22/01/1997 00:00:00;
Gourmet Lanchonetes;23/01/1997 00:00:00;
Mère Paillarde;23/01/1997 00:00:00;
La maison d'Asie;24/01/1997 00:00:00;
Galería del gastrónomo;27/01/1997 00:00:00;
Piccolo und mehr;27/01/1997 00:00:00;
Reggiani Caseifici;28/01/1997 00:00:00;
Hungry Owl All-Night Grocers;29/01/1997 00:00:00;
Ernst Handel;30/01/1997 00:00:00;
Bottom-Dollar Markets;30/01/1997 00:00:00;
Split Rail Beer & Ale;31/01/1997 00:00:00;
Princesa Isabel Vinhos;03/02/1997 00:00:00;
Folk och fä HB;03/02/1997 00:00:00;
Consolidated Holdings;04/02/1997 00:00:00;
Blondesddsl père et fils;05/02/1997 00:00:00;
Wartian Herkku;05/02/1997 00:00:00;
Toms Spezialitäten;06/02/1997 00:00:00;
Mère Paillarde;07/02/1997 00:00:00;
Save-a-lot Markets;10/02/1997 00:00:00;
Old World Delicatessen;10/02/1997 00:00:00;
Ernst Handel;11/02/1997 00:00:00;
Reggiani Caseifici;12/02/1997 00:00:00;
Berglunds snabbköp;12/02/1997 00:00:00;
Berglunds snabbköp;13/02/1997 00:00:00;
Toms Spezialitäten;14/02/1997 00:00:00;
Ricardo Adocicados;14/02/1997 00:00:00;
Rancho grande;17/02/1997 00:00:00;
Blondesddsl père et fils;18/02/1997 00:00:00;
Victuailles en stock;19/02/1997 00:00:00;
QUICK-Stop;19/02/1997 00:00:00;
Save-a-lot Markets;20/02/1997 00:00:00;
Around the Horn;21/02/1997 00:00:00;
La maison d'Asie;21/02/1997 00:00:00;
Wartian Herkku;24/02/1997 00:00:00;
Königlich Essen;25/02/1997 00:00:00;
Königlich Essen;25/02/1997 00:00:00;
Suprêmes délices;26/02/1997 00:00:00;
Victuailles en stock;27/02/1997 00:00:00;
Folk och fä HB;28/02/1997 00:00:00;
LILA-Supermercado;28/02/1997 00:00:00;
Consolidated Holdings;03/03/1997 00:00:00;
Suprêmes délices;04/03/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;04/03/1997 00:00:00;
Vaffeljernet;05/03/1997 00:00:00;
Comércio Mineiro;06/03/1997 00:00:00;
Magazzini Alimentari Riuniti;06/03/1997 00:00:00;
Königlich Essen;07/03/1997 00:00:00;
White Clover Markets;10/03/1997 00:00:00;
Bon app';11/03/1997 00:00:00;
B's Beverages;11/03/1997 00:00:00;
Seven Seas Imports;12/03/1997 00:00:00;
Island Trading;13/03/1997 00:00:00;
Pericles Comidas clásicas;13/03/1997 00:00:00;
Suprêmes délices;14/03/1997 00:00:00;
HILARION-Abastos;17/03/1997 00:00:00;
Princesa Isabel Vinhos;17/03/1997 00:00:00;
Victuailles en stock;18/03/1997 00:00:00;
Rattlesnake Canyon Grocery;19/03/1997 00:00:00;
Folies gourmandes;20/03/1997 00:00:00;
Ricardo Adocicados;20/03/1997 00:00:00;
Lazy K Kountry Store;21/03/1997 00:00:00;
White Clover Markets;24/03/1997 00:00:00;
B's Beverages;24/03/1997 00:00:00;
LINO-Delicateses;25/03/1997 00:00:00;
HILARION-Abastos;26/03/1997 00:00:00;
Queen Cozinha;26/03/1997 00:00:00;
Frankenversand;27/03/1997 00:00:00;
Piccolo und mehr;28/03/1997 00:00:00;
HILARION-Abastos;31/03/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;31/03/1997 00:00:00;
Bottom-Dollar Markets;01/04/1997 00:00:00;
La maison d'Asie;02/04/1997 00:00:00;
Comércio Mineiro;02/04/1997 00:00:00;
Laughing Bacchus Wine Cellars;03/04/1997 00:00:00;
Tradição Hipermercados;04/04/1997 00:00:00;
Lehmanns Marktstand;04/04/1997 00:00:00;
HILARION-Abastos;07/04/1997 00:00:00;
LILA-Supermercado;08/04/1997 00:00:00;
La maison d'Asie;09/04/1997 00:00:00;
Blauer See Delikatessen;09/04/1997 00:00:00;
Pericles Comidas clásicas;10/04/1997 00:00:00;
Hungry Owl All-Night Grocers;11/04/1997 00:00:00;
White Clover Markets;11/04/1997 00:00:00;
Mère Paillarde;14/04/1997 00:00:00;
Königlich Essen;15/04/1997 00:00:00;
Antonio Moreno Taquería;15/04/1997 00:00:00;
Ottilies Käseladen;16/04/1997 00:00:00;
Blauer See Delikatessen;17/04/1997 00:00:00;
Save-a-lot Markets;18/04/1997 00:00:00;
Bon app';18/04/1997 00:00:00;
Familia Arquibaldo;21/04/1997 00:00:00;
Die Wandernde Kuh;22/04/1997 00:00:00;
Ernst Handel;22/04/1997 00:00:00;
QUICK-Stop;23/04/1997 00:00:00;
Hungry Owl All-Night Grocers;24/04/1997 00:00:00;
North/South;24/04/1997 00:00:00;
Tortuga Restaurante;25/04/1997 00:00:00;
Chop-suey Chinese;28/04/1997 00:00:00;
Santé Gourmet;29/04/1997 00:00:00;
Cactus Comidas para llevar;29/04/1997 00:00:00;
Lehmanns Marktstand;30/04/1997 00:00:00;
Seven Seas Imports;01/05/1997 00:00:00;
Berglunds snabbköp;01/05/1997 00:00:00;
Bon app';02/05/1997 00:00:00;
Wartian Herkku;05/05/1997 00:00:00;
QUICK-Stop;05/05/1997 00:00:00;
Great Lakes Food Market;06/05/1997 00:00:00;
Maison Dewey;07/05/1997 00:00:00;
Piccolo und mehr;08/05/1997 00:00:00;
Océano Atlántico Ltda.;08/05/1997 00:00:00;
Eastern Connection;09/05/1997 00:00:00;
Folk och fä HB;12/05/1997 00:00:00;
Lehmanns Marktstand;12/05/1997 00:00:00;
Antonio Moreno Taquería;13/05/1997 00:00:00;
Lehmanns Marktstand;14/05/1997 00:00:00;
Richter Supermarkt;14/05/1997 00:00:00;
B's Beverages;15/05/1997 00:00:00;
B's Beverages;16/05/1997 00:00:00;
QUICK-Stop;19/05/1997 00:00:00;
Hanari Carnes;19/05/1997 00:00:00;
Königlich Essen;20/05/1997 00:00:00;
LILA-Supermercado;21/05/1997 00:00:00;
Lonesome Pine Restaurant;21/05/1997 00:00:00;
Lazy K Kountry Store;22/05/1997 00:00:00;
Victuailles en stock;23/05/1997 00:00:00;
Seven Seas Imports;23/05/1997 00:00:00;
Toms Spezialitäten;26/05/1997 00:00:00;
QUICK-Stop;27/05/1997 00:00:00;
Godos Cocina Típica;28/05/1997 00:00:00;
Furia Bacalhau e Frutos do Mar;28/05/1997 00:00:00;
HILARION-Abastos;29/05/1997 00:00:00;
Wartian Herkku;30/05/1997 00:00:00;
Ottilies Käseladen;30/05/1997 00:00:00;
Save-a-lot Markets;02/06/1997 00:00:00;
Simons bistro;03/06/1997 00:00:00;
Lehmanns Marktstand;03/06/1997 00:00:00;
Around the Horn;04/06/1997 00:00:00;
Blondesddsl père et fils;05/06/1997 00:00:00;
Frankenversand;06/06/1997 00:00:00;
Folk och fä HB;06/06/1997 00:00:00;
Reggiani Caseifici;09/06/1997 00:00:00;
Ricardo Adocicados;10/06/1997 00:00:00;
Rattlesnake Canyon Grocery;10/06/1997 00:00:00;
Mère Paillarde;11/06/1997 00:00:00;
