Hanari Carnes;27/04/1998 00:00:00;
Hanari Carnes;14/04/1998 00:00:00;
Hanari Carnes;27/03/1998 00:00:00;
HILARION-Abastos;25/03/1998 00:00:00;
HILARION-Abastos;19/03/1998 00:00:00;
HILARION-Abastos;28/04/1998 00:00:00;
HILARION-Abastos;23/02/1998 00:00:00;
HILARION-Abastos;18/03/1998 00:00:00;
HILARION-Abastos;02/02/1998 00:00:00;
Hungry Owl All-Night Grocers;26/02/1998 00:00:00;
Hungry Owl All-Night Grocers;19/02/1998 00:00:00;
Hungry Owl All-Night Grocers;30/04/1998 00:00:00;
Hungry Owl All-Night Grocers;30/03/1998 00:00:00;
Island Trading;06/03/1998 00:00:00;
Island Trading;13/01/1998 00:00:00;
Königlich Essen;06/01/1998 00:00:00;
Königlich Essen;23/01/1998 00:00:00;
Königlich Essen;18/02/1998 00:00:00;
Königlich Essen;16/04/1998 00:00:00;
La corne d'abondance;24/03/1998 00:00:00;
La corne d'abondance;24/03/1998 00:00:00;
La corne d'abondance;05/03/1998 00:00:00;
La corne d'abondance;29/01/1998 00:00:00;
La maison d'Asie;14/01/1998 00:00:00;
La maison d'Asie;03/03/1998 00:00:00;
La maison d'Asie;27/04/1998 00:00:00;
Laughing Bacchus Wine Cellars;01/01/1998 00:00:00;
Lehmanns Marktstand;30/01/1998 00:00:00;
Lehmanns Marktstand;09/03/1998 00:00:00;
Lehmanns Marktstand;17/02/1998 00:00:00;
Lehmanns Marktstand;05/05/1998 00:00:00;
Let's Stop N Shop;12/02/1998 00:00:00;
LILA-Supermercado;09/01/1998 00:00:00;
LILA-Supermercado;20/02/1998 00:00:00;
LILA-Supermercado;05/05/1998 00:00:00;
LILA-Supermercado;01/05/1998 00:00:00;
LILA-Supermercado;03/04/1998 00:00:00;
LINO-Delicateses;10/04/1998 00:00:00;
LINO-Delicateses;21/04/1998 00:00:00;
LINO-Delicateses;02/03/1998 00:00:00;
LINO-Delicateses;17/03/1998 00:00:00;
LINO-Delicateses;02/01/1998 00:00:00;
LINO-Delicateses;19/01/1998 00:00:00;
LINO-Delicateses;19/01/1998 00:00:00;
Lonesome Pine Restaurant;03/02/1998 00:00:00;
Lonesome Pine Restaurant;12/02/1998 00:00:00;
Lonesome Pine Restaurant;13/04/1998 00:00:00;
Magazzini Alimentari Riuniti;16/03/1998 00:00:00;
Magazzini Alimentari Riuniti;10/03/1998 00:00:00;
Magazzini Alimentari Riuniti;07/01/1998 00:00:00;
Maison Dewey;17/02/1998 00:00:00;
Maison Dewey;19/02/1998 00:00:00;
Maison Dewey;07/04/1998 00:00:00;
Maison Dewey;26/03/1998 00:00:00;
Morgenstern Gesundkost;12/03/1998 00:00:00;
North/South;29/04/1998 00:00:00;
Océano Atlántico Ltda.;30/03/1998 00:00:00;
Océano Atlántico Ltda.;18/03/1998 00:00:00;
Océano Atlántico Ltda.;20/02/1998 00:00:00;
Old World Delicatessen;01/01/1998 00:00:00;
Old World Delicatessen;27/01/1998 00:00:00;
Old World Delicatessen;20/03/1998 00:00:00;
Old World Delicatessen;20/04/1998 00:00:00;
Ottilies Käseladen;03/04/1998 00:00:00;
Ottilies Käseladen;14/04/1998 00:00:00;
Ottilies Käseladen;15/01/1998 00:00:00;
Pericles Comidas clásicas;02/04/1998 00:00:00;
Pericles Comidas clásicas;05/05/1998 00:00:00;
Piccolo und mehr;27/04/1998 00:00:00;
Piccolo und mehr;21/01/1998 00:00:00;
Princesa Isabel Vinhos;08/04/1998 00:00:00;
Que Delícia;31/03/1998 00:00:00;
Queen Cozinha;19/03/1998 00:00:00;
Queen Cozinha;04/05/1998 00:00:00;
Queen Cozinha;04/02/1998 00:00:00;
Queen Cozinha;26/02/1998 00:00:00;
Queen Cozinha;27/02/1998 00:00:00;
QUICK-Stop;10/03/1998 00:00:00;
QUICK-Stop;10/02/1998 00:00:00;
QUICK-Stop;02/02/1998 00:00:00;
QUICK-Stop;21/01/1998 00:00:00;
QUICK-Stop;19/03/1998 00:00:00;
QUICK-Stop;01/04/1998 00:00:00;
QUICK-Stop;14/04/1998 00:00:00;
QUICK-Stop;02/04/1998 00:00:00;
Rancho grande;13/04/1998 00:00:00;
Rancho grande;13/01/1998 00:00:00;
Rancho grande;27/02/1998 00:00:00;
Rattlesnake Canyon Grocery;16/02/1998 00:00:00;
Rattlesnake Canyon Grocery;07/01/1998 00:00:00;
Rattlesnake Canyon Grocery;26/01/1998 00:00:00;
Rattlesnake Canyon Grocery;06/04/1998 00:00:00;
Rattlesnake Canyon Grocery;31/03/1998 00:00:00;
Rattlesnake Canyon Grocery;06/05/1998 00:00:00;
Reggiani Caseifici;30/04/1998 00:00:00;
Reggiani Caseifici;09/04/1998 00:00:00;
Reggiani Caseifici;02/01/1998 00:00:00;
Reggiani Caseifici;26/02/1998 00:00:00;
Reggiani Caseifici;11/03/1998 00:00:00;
Ricardo Adocicados;05/01/1998 00:00:00;
Ricardo Adocicados;26/01/1998 00:00:00;
Ricardo Adocicados;09/02/1998 00:00:00;
Ricardo Adocicados;29/04/1998 00:00:00;
Richter Supermarkt;17/04/1998 00:00:00;
Richter Supermarkt;06/05/1998 00:00:00;
Richter Supermarkt;16/03/1998 00:00:00;
Richter Supermarkt;06/03/1998 00:00:00;
Romero y tomillo;02/03/1998 00:00:00;
Romero y tomillo;09/04/1998 00:00:00;
Santé Gourmet;10/04/1998 00:00:00;
Santé Gourmet;26/02/1998 00:00:00;
Santé Gourmet;14/01/1998 00:00:00;
Save-a-lot Markets;22/01/1998 00:00:00;
Save-a-lot Markets;11/02/1998 00:00:00;
Save-a-lot Markets;05/01/1998 00:00:00;
Save-a-lot Markets;18/02/1998 00:00:00;
Save-a-lot Markets;11/03/1998 00:00:00;
Save-a-lot Markets;17/04/1998 00:00:00;
Save-a-lot Markets;17/04/1998 00:00:00;
Save-a-lot Markets;06/04/1998 00:00:00;
Save-a-lot Markets;27/03/1998 00:00:00;
Save-a-lot Markets;30/03/1998 00:00:00;
Save-a-lot Markets;01/05/1998 00:00:00;
Seven Seas Imports;04/02/1998 00:00:00;
Simons bistro;06/05/1998 00:00:00;
Spécialités du monde;22/04/1998 00:00:00;
Spécialités du monde;20/03/1998 00:00:00;
Spécialités du monde;25/02/1998 00:00:00;
Split Rail Beer & Ale;08/01/1998 00:00:00;
Split Rail Beer & Ale;25/03/1998 00:00:00;
Suprêmes délices;20/04/1998 00:00:00;
Suprêmes délices;21/04/1998 00:00:00;
Suprêmes délices;22/01/1998 00:00:00;
Suprêmes délices;20/01/1998 00:00:00;
Suprêmes délices;12/02/1998 00:00:00;
Suprêmes délices;06/03/1998 00:00:00;
The Big Cheese;01/04/1998 00:00:00;
The Cracker Box;06/04/1998 00:00:00;
Toms Spezialitäten;23/03/1998 00:00:00;
Tortuga Restaurante;04/05/1998 00:00:00;
Tortuga Restaurante;27/02/1998 00:00:00;
Tortuga Restaurante;20/01/1998 00:00:00;
Tradição Hipermercados;19/01/1998 00:00:00;
Tradição Hipermercados;13/01/1998 00:00:00;
Tradição Hipermercados;15/01/1998 00:00:00;
Trail's Head Gourmet Provisioners;08/01/1998 00:00:00;
Vaffeljernet;03/03/1998 00:00:00;
Vaffeljernet;12/03/1998 00:00:00;
Vaffeljernet;02/04/1998 00:00:00;
Victuailles en stock;05/01/1998 00:00:00;
Victuailles en stock;21/01/1998 00:00:00;
Victuailles en stock;23/01/1998 00:00:00;
Die Wandernde Kuh;23/04/1998 00:00:00;
Wartian Herkku;15/04/1998 00:00:00;
Wellington Importadora;01/01/1998 00:00:00;
Wellington Importadora;09/03/1998 00:00:00;
Wellington Importadora;24/02/1998 00:00:00;
Wellington Importadora;20/02/1998 00:00:00;
White Clover Markets;24/02/1998 00:00:00;
White Clover Markets;30/01/1998 00:00:00;
White Clover Markets;17/04/1998 00:00:00;
White Clover Markets;01/05/1998 00:00:00;
Wilman Kala;07/04/1998 00:00:00;
Wilman Kala;10/02/1998 00:00:00;
Wilman Kala;06/02/1998 00:00:00;
Wilman Kala;26/02/1998 00:00:00;
Wolski  Zajazd;25/02/1998 00:00:00;
Wolski  Zajazd;04/02/1998 00:00:00;
Wolski  Zajazd;03/04/1998 00:00:00;
Wolski  Zajazd;23/04/1998 00:00:00;
CompanyName;OrderDate;
Alfreds Futterkiste;15/01/1998 00:00:00;
Alfreds Futterkiste;16/03/1998 00:00:00;
Alfreds Futterkiste;09/04/1998 00:00:00;
Ana Trujillo Emparedados y helados;04/03/1998 00:00:00;
Antonio Moreno Taquería;28/01/1998 00:00:00;
Around the Horn;02/02/1998 00:00:00;
Around the Horn;16/03/1998 00:00:00;
Around the Horn;03/03/1998 00:00:00;
Around the Horn;10/04/1998 00:00:00;
Berglunds snabbköp;04/03/1998 00:00:00;
Berglunds snabbköp;28/01/1998 00:00:00;
Berglunds snabbköp;03/02/1998 00:00:00;
Berglunds snabbköp;06/02/1998 00:00:00;
Berglunds snabbköp;16/01/1998 00:00:00;
Blauer See Delikatessen;27/01/1998 00:00:00;
Blauer See Delikatessen;17/03/1998 00:00:00;
Blauer See Delikatessen;29/04/1998 00:00:00;
Blondesddsl père et fils;12/01/1998 00:00:00;
Bólido Comidas preparadas;24/03/1998 00:00:00;
Bon app';06/05/1998 00:00:00;
Bon app';12/01/1998 00:00:00;
Bon app';09/02/1998 00:00:00;
Bon app';05/02/1998 00:00:00;
Bon app';11/03/1998 00:00:00;
Bon app';06/03/1998 00:00:00;
Bottom-Dollar Markets;12/03/1998 00:00:00;
Bottom-Dollar Markets;13/03/1998 00:00:00;
Bottom-Dollar Markets;02/03/1998 00:00:00;
Bottom-Dollar Markets;24/04/1998 00:00:00;
Bottom-Dollar Markets;16/04/1998 00:00:00;
Bottom-Dollar Markets;23/04/1998 00:00:00;
Bottom-Dollar Markets;25/03/1998 00:00:00;
Bottom-Dollar Markets;27/03/1998 00:00:00;
B's Beverages;14/04/1998 00:00:00;
B's Beverages;13/03/1998 00:00:00;
B's Beverages;11/03/1998 00:00:00;
Cactus Comidas para llevar;10/03/1998 00:00:00;
Cactus Comidas para llevar;11/02/1998 00:00:00;
Cactus Comidas para llevar;07/01/1998 00:00:00;
Cactus Comidas para llevar;28/04/1998 00:00:00;
Chop-suey Chinese;22/04/1998 00:00:00;
Chop-suey Chinese;16/04/1998 00:00:00;
Chop-suey Chinese;20/03/1998 00:00:00;
Comércio Mineiro;23/03/1998 00:00:00;
Comércio Mineiro;22/04/1998 00:00:00;
Consolidated Holdings;23/01/1998 00:00:00;
Drachenblut Delikatessen;09/01/1998 00:00:00;
Drachenblut Delikatessen;20/04/1998 00:00:00;
Drachenblut Delikatessen;04/05/1998 00:00:00;
Du monde entier;16/02/1998 00:00:00;
Eastern Connection;24/04/1998 00:00:00;
Eastern Connection;28/04/1998 00:00:00;
Eastern Connection;31/03/1998 00:00:00;
Eastern Connection;15/04/1998 00:00:00;
Ernst Handel;13/04/1998 00:00:00;
Ernst Handel;08/04/1998 00:00:00;
Ernst Handel;01/04/1998 00:00:00;
Ernst Handel;26/03/1998 00:00:00;
Ernst Handel;23/03/1998 00:00:00;
Ernst Handel;05/05/1998 00:00:00;
Ernst Handel;18/02/1998 00:00:00;
Ernst Handel;16/01/1998 00:00:00;
Ernst Handel;27/01/1998 00:00:00;
Folk och fä HB;10/02/1998 00:00:00;
Folk och fä HB;09/01/1998 00:00:00;
Folk och fä HB;23/02/1998 00:00:00;
Folk och fä HB;27/04/1998 00:00:00;
Folk och fä HB;17/03/1998 00:00:00;
Folk och fä HB;27/03/1998 00:00:00;
Folk och fä HB;26/03/1998 00:00:00;
Folk och fä HB;01/04/1998 00:00:00;
Folk och fä HB;06/04/1998 00:00:00;
Frankenversand;09/04/1998 00:00:00;
Frankenversand;05/03/1998 00:00:00;
Frankenversand;29/01/1998 00:00:00;
France restauration;29/01/1998 00:00:00;
France restauration;24/03/1998 00:00:00;
Franchi S.p.A.;30/04/1998 00:00:00;
Franchi S.p.A.;15/04/1998 00:00:00;
Furia Bacalhau e Frutos do Mar;19/03/1998 00:00:00;
Galería del gastrónomo;05/03/1998 00:00:00;
Galería del gastrónomo;13/02/1998 00:00:00;
Godos Cocina Típica;16/02/1998 00:00:00;
Godos Cocina Típica;26/02/1998 00:00:00;
Godos Cocina Típica;13/03/1998 00:00:00;
Godos Cocina Típica;06/02/1998 00:00:00;
Godos Cocina Típica;05/02/1998 00:00:00;
Godos Cocina Típica;08/04/1998 00:00:00;
Godos Cocina Típica;21/04/1998 00:00:00;
Gourmet Lanchonetes;24/04/1998 00:00:00;
Gourmet Lanchonetes;18/03/1998 00:00:00;
Great Lakes Food Market;07/04/1998 00:00:00;
Great Lakes Food Market;30/04/1998 00:00:00;
Great Lakes Food Market;22/04/1998 00:00:00;
Great Lakes Food Market;06/01/1998 00:00:00;
Great Lakes Food Market;09/03/1998 00:00:00;
Hanari Carnes;04/03/1998 00:00:00;
Hanari Carnes;03/03/1998 00:00:00;
Hanari Carnes;13/02/1998 00:00:00;
Hanari Carnes;24/02/1998 00:00:00;
Hanari Carnes;27/04/1998 00:00:00;
Hanari Carnes;14/04/1998 00:00:00;
Hanari Carnes;27/03/1998 00:00:00;
HILARION-Abastos;25/03/1998 00:00:00;
HILARION-Abastos;19/03/1998 00:00:00;
HILARION-Abastos;28/04/1998 00:00:00;
HILARION-Abastos;23/02/1998 00:00:00;
HILARION-Abastos;18/03/1998 00:00:00;
HILARION-Abastos;02/02/1998 00:00:00;
Hungry Owl All-Night Grocers;26/02/1998 00:00:00;
Hungry Owl All-Night Grocers;19/02/1998 00:00:00;
Hungry Owl All-Night Grocers;30/04/1998 00:00:00;
Hungry Owl All-Night Grocers;30/03/1998 00:00:00;
Island Trading;06/03/1998 00:00:00;
Island Trading;13/01/1998 00:00:00;
Königlich Essen;06/01/1998 00:00:00;
Königlich Essen;23/01/1998 00:00:00;
Königlich Essen;18/02/1998 00:00:00;
Königlich Essen;16/04/1998 00:00:00;
La corne d'abondance;24/03/1998 00:00:00;
La corne d'abondance;24/03/1998 00:00:00;
La corne d'abondance;05/03/1998 00:00:00;
La corne d'abondance;29/01/1998 00:00:00;
La maison d'Asie;14/01/1998 00:00:00;
La maison d'Asie;03/03/1998 00:00:00;
La maison d'Asie;27/04/1998 00:00:00;
Laughing Bacchus Wine Cellars;01/01/1998 00:00:00;
Lehmanns Marktstand;30/01/1998 00:00:00;
Lehmanns Marktstand;09/03/1998 00:00:00;
Lehmanns Marktstand;17/02/1998 00:00:00;
Lehmanns Marktstand;05/05/1998 00:00:00;
Let's Stop N Shop;12/02/1998 00:00:00;
LILA-Supermercado;09/01/1998 00:00:00;
LILA-Supermercado;20/02/1998 00:00:00;
LILA-Supermercado;05/05/1998 00:00:00;
LILA-Supermercado;01/05/1998 00:00:00;
LILA-Supermercado;03/04/1998 00:00:00;
LINO-Delicateses;10/04/1998 00:00:00;
LINO-Delicateses;21/04/1998 00:00:00;
LINO-Delicateses;02/03/1998 00:00:00;
LINO-Delicateses;17/03/1998 00:00:00;
LINO-Delicateses;02/01/1998 00:00:00;
LINO-Delicateses;19/01/1998 00:00:00;
LINO-Delicateses;19/01/1998 00:00:00;
Lonesome Pine Restaurant;03/02/1998 00:00:00;
Lonesome Pine Restaurant;12/02/1998 00:00:00;
Lonesome Pine Restaurant;13/04/1998 00:00:00;
Magazzini Alimentari Riuniti;16/03/1998 00:00:00;
Magazzini Alimentari Riuniti;10/03/1998 00:00:00;
Magazzini Alimentari Riuniti;07/01/1998 00:00:00;
Maison Dewey;17/02/1998 00:00:00;
Maison Dewey;19/02/1998 00:00:00;
Maison Dewey;07/04/1998 00:00:00;
Maison Dewey;26/03/1998 00:00:00;
Morgenstern Gesundkost;12/03/1998 00:00:00;
North/South;29/04/1998 00:00:00;
Océano Atlántico Ltda.;30/03/1998 00:00:00;
Océano Atlántico Ltda.;18/03/1998 00:00:00;
Océano Atlántico Ltda.;20/02/1998 00:00:00;
Old World Delicatessen;01/01/1998 00:00:00;
Old World Delicatessen;27/01/1998 00:00:00;
Old World Delicatessen;20/03/1998 00:00:00;
Old World Delicatessen;20/04/1998 00:00:00;
Ottilies Käseladen;03/04/1998 00:00:00;
Ottilies Käseladen;14/04/1998 00:00:00;
Ottilies Käseladen;15/01/1998 00:00:00;
Pericles Comidas clásicas;02/04/1998 00:00:00;
Pericles Comidas clásicas;05/05/1998 00:00:00;
Piccolo und mehr;27/04/1998 00:00:00;
Piccolo und mehr;21/01/1998 00:00:00;
Princesa Isabel Vinhos;08/04/1998 00:00:00;
Que Delícia;31/03/1998 00:00:00;
Queen Cozinha;19/03/1998 00:00:00;
Queen Cozinha;04/05/1998 00:00:00;
Queen Cozinha;04/02/1998 00:00:00;
Queen Cozinha;26/02/1998 00:00:00;
Queen Cozinha;27/02/1998 00:00:00;
QUICK-Stop;10/03/1998 00:00:00;
QUICK-Stop;10/02/1998 00:00:00;
QUICK-Stop;02/02/1998 00:00:00;
QUICK-Stop;21/01/1998 00:00:00;
QUICK-Stop;19/03/1998 00:00:00;
QUICK-Stop;01/04/1998 00:00:00;
QUICK-Stop;14/04/1998 00:00:00;
QUICK-Stop;02/04/1998 00:00:00;
Rancho grande;13/04/1998 00:00:00;
Rancho grande;13/01/1998 00:00:00;
Rancho grande;27/02/1998 00:00:00;
Rattlesnake Canyon Grocery;16/02/1998 00:00:00;
Rattlesnake Canyon Grocery;07/01/1998 00:00:00;
Rattlesnake Canyon Grocery;26/01/1998 00:00:00;
Rattlesnake Canyon Grocery;06/04/1998 00:00:00;
Rattlesnake Canyon Grocery;31/03/1998 00:00:00;
Rattlesnake Canyon Grocery;06/05/1998 00:00:00;
Reggiani Caseifici;30/04/1998 00:00:00;
Reggiani Caseifici;09/04/1998 00:00:00;
Reggiani Caseifici;02/01/1998 00:00:00;
Reggiani Caseifici;26/02/1998 00:00:00;
Reggiani Caseifici;11/03/1998 00:00:00;
Ricardo Adocicados;05/01/1998 00:00:00;
Ricardo Adocicados;26/01/1998 00:00:00;
Ricardo Adocicados;09/02/1998 00:00:00;
Ricardo Adocicados;29/04/1998 00:00:00;
Richter Supermarkt;17/04/1998 00:00:00;
Richter Supermarkt;06/05/1998 00:00:00;
Richter Supermarkt;16/03/1998 00:00:00;
Richter Supermarkt;06/03/1998 00:00:00;
Romero y tomillo;02/03/1998 00:00:00;
Romero y tomillo;09/04/1998 00:00:00;
Santé Gourmet;10/04/1998 00:00:00;
Santé Gourmet;26/02/1998 00:00:00;
Santé Gourmet;14/01/1998 00:00:00;
Save-a-lot Markets;22/01/1998 00:00:00;
Save-a-lot Markets;11/02/1998 00:00:00;
Save-a-lot Markets;05/01/1998 00:00:00;
Save-a-lot Markets;18/02/1998 00:00:00;
Save-a-lot Markets;11/03/1998 00:00:00;
Save-a-lot Markets;17/04/1998 00:00:00;
Save-a-lot Markets;17/04/1998 00:00:00;
Save-a-lot Markets;06/04/1998 00:00:00;
Save-a-lot Markets;27/03/1998 00:00:00;
Save-a-lot Markets;30/03/1998 00:00:00;
Save-a-lot Markets;01/05/1998 00:00:00;
Seven Seas Imports;04/02/1998 00:00:00;
Simons bistro;06/05/1998 00:00:00;
Spécialités du monde;22/04/1998 00:00:00;
Spécialités du monde;20/03/1998 00:00:00;
Spécialités du monde;25/02/1998 00:00:00;
Split Rail Beer & Ale;08/01/1998 00:00:00;
Split Rail Beer & Ale;25/03/1998 00:00:00;
Suprêmes délices;20/04/1998 00:00:00;
Suprêmes délices;21/04/1998 00:00:00;
Suprêmes délices;22/01/1998 00:00:00;
Suprêmes délices;20/01/1998 00:00:00;
Suprêmes délices;12/02/1998 00:00:00;
Suprêmes délices;06/03/1998 00:00:00;
The Big Cheese;01/04/1998 00:00:00;
The Cracker Box;06/04/1998 00:00:00;
Toms Spezialitäten;23/03/1998 00:00:00;
Tortuga Restaurante;04/05/1998 00:00:00;
Tortuga Restaurante;27/02/1998 00:00:00;
Tortuga Restaurante;20/01/1998 00:00:00;
Tradição Hipermercados;19/01/1998 00:00:00;
Tradição Hipermercados;13/01/1998 00:00:00;
Tradição Hipermercados;15/01/1998 00:00:00;
Trail's Head Gourmet Provisioners;08/01/1998 00:00:00;
Vaffeljernet;03/03/1998 00:00:00;
Vaffeljernet;12/03/1998 00:00:00;
Vaffeljernet;02/04/1998 00:00:00;
Victuailles en stock;05/01/1998 00:00:00;
Victuailles en stock;21/01/1998 00:00:00;
Victuailles en stock;23/01/1998 00:00:00;
Die Wandernde Kuh;23/04/1998 00:00:00;
Wartian Herkku;15/04/1998 00:00:00;
Wellington Importadora;01/01/1998 00:00:00;
Wellington Importadora;09/03/1998 00:00:00;
Wellington Importadora;24/02/1998 00:00:00;
Wellington Importadora;20/02/1998 00:00:00;
White Clover Markets;24/02/1998 00:00:00;
White Clover Markets;30/01/1998 00:00:00;
White Clover Markets;17/04/1998 00:00:00;
White Clover Markets;01/05/1998 00:00:00;
Wilman Kala;07/04/1998 00:00:00;
Wilman Kala;10/02/1998 00:00:00;
Wilman Kala;06/02/1998 00:00:00;
Wilman Kala;26/02/1998 00:00:00;
Wolski  Zajazd;25/02/1998 00:00:00;
Wolski  Zajazd;04/02/1998 00:00:00;
Wolski  Zajazd;03/04/1998 00:00:00;
Wolski  Zajazd;23/04/1998 00:00:00;
